,irrigation_scheduling_method_standardized,plant_yield_kg_per_hectare,latitude_decimal_degrees,longitude_decimal_degrees,altitude_numeric,plant_type_standardized_to_10,soil_type_standardized,water_productivity_kg_per_m^3,doi_url,processed_at,relevance_score
315,Plant or Climate-Based,2400.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
316,Plant or Climate-Based,2000.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
317,Evapotranspiration-Based,3400.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
318,Soil Moisture-Based,4200.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
319,Soil Moisture-Based,3400.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
320,Plant or Climate-Based,2900.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
321,Plant or Climate-Based,2200.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
322,Evapotranspiration-Based,2600.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
323,Soil Moisture-Based,3300.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.61,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
324,Plant or Climate-Based,2600.0,22.7775,-47.2958,560.0,Soybean,sandy loams,0.78,https://doi.org/10.1016/j.agwat.2024.108709,2025-09-12 14:24:35,10.0
325,Specialized Irrigation Delivery,42429.04245,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,15.74,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
326,Conventional/Fixed Scheduling,45141.52559999999,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,13.74,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
327,Conventional/Fixed Scheduling,42429.04245,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,15.74,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
328,Conventional/Fixed Scheduling,39371.829,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,12.97,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
329,Conventional/Fixed Scheduling,33556.77315,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,11.55,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
330,Conventional/Fixed Scheduling,33819.8568,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,12.12,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
331,Conventional/Fixed Scheduling,31270.66695,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,11.99,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
332,Conventional/Fixed Scheduling,27442.34625,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,10.65,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
333,Conventional/Fixed Scheduling,27623.78325,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,10.86,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
334,Conventional/Fixed Scheduling,31143.661049999995,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,11.16,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
335,Conventional/Fixed Scheduling,30390.6975,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,11.22,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
336,Conventional/Fixed Scheduling,29964.32055,36.80055555555556,106.36472,1489.0,Roots_Tubers,sandy loams,12.01,https://doi.org/10.3389/fpls.2023.1242074,2025-09-12 14:34:20,9.0
337,Specialized Irrigation Delivery,22634.26575,28.6391961,77.1662771,231.0,Roots_Tubers,sandy loams,9.815242767333984,https://doi.org/10.5539/jas.v4n1p71,2025-09-12 14:54:35,8.0
338,Specialized Irrigation Delivery,23604.9537,28.6391961,77.1662771,231.0,Roots_Tubers,sandy loams,9.815242767333984,https://doi.org/10.5539/jas.v4n1p71,2025-09-12 14:54:35,8.0
339,Specialized Irrigation Delivery,34835.903999999995,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,5.824,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
340,Specialized Irrigation Delivery,33710.9946,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,7.584,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
341,Specialized Irrigation Delivery,30553.9908,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,9.0,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
342,Specialized Irrigation Delivery,28757.7645,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,10.03,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
343,Specialized Irrigation Delivery,36949.64504999999,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,6.171,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
344,Specialized Irrigation Delivery,34926.6225,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,7.859999999999999,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
345,Specialized Irrigation Delivery,30935.0085,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,9.117,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
346,Specialized Irrigation Delivery,28304.172,35.03333333333333,45.96666666666667,670.0,Roots_Tubers,sandy loams,9.894,https://doi.org/10.24017/science.2018.3.5,2025-09-12 14:55:17,9.0
347,Deficit/Partial Irrigation,48500.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,7.8,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
348,Deficit/Partial Irrigation,42900.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,7.92,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
349,Deficit/Partial Irrigation,37600.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,8.88,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
350,Deficit/Partial Irrigation,44500.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,7.17,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
351,Deficit/Partial Irrigation,40800.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,7.54,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
352,Deficit/Partial Irrigation,38600.0,38.4583983,47.9313001,1677.0,Roots_Tubers,clay,9.12,https://doi.org/10.1007/s11540-010-9179-5,2025-09-12 14:59:14,8.0
353,Conventional/Fixed Scheduling,30761.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.011309623718262,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
354,Deficit/Partial Irrigation,33564.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.011309623718262,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
355,Specialized Irrigation Delivery,39729.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.184436798095703,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
356,Specialized Irrigation Delivery,37032.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.184436798095703,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
357,Conventional/Fixed Scheduling,29543.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,9.966034889221191,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
358,Deficit/Partial Irrigation,32421.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.011309623718262,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
359,Specialized Irrigation Delivery,38390.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.184436798095703,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
360,Specialized Irrigation Delivery,35586.0,30.32,31.03,17.9,Roots_Tubers,sandy clay loams,10.011309623718262,https://doi.org/10.4236/jwarp.2016.83024,2025-09-12 15:03:43,9.0
363,Evapotranspiration-Based,4450.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
364,Evapotranspiration-Based,3780.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
365,Evapotranspiration-Based,4140.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
366,Evapotranspiration-Based,4370.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
367,Evapotranspiration-Based,4450.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
368,Evapotranspiration-Based,3780.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
369,Evapotranspiration-Based,4140.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
370,Evapotranspiration-Based,4370.0,26.05,75.28,427.0,Wheat,loamy sands,8.594532012939453,https://doi.org/10.3390/su151310204,2025-09-12 15:44:29,9.0
371,Soil Moisture-Based,52707.4485,11.175,37.02,1960.0,Roots_Tubers,sandy clay loams,9.1,https://doi.org/10.1016/j.heliyon.2023.e19762,2025-09-12 15:56:34,9.0
372,Evapotranspiration-Based,38011.0515,11.175,37.02,1960.0,Roots_Tubers,sandy clay loams,7.8,https://doi.org/10.1016/j.heliyon.2023.e19762,2025-09-12 15:56:34,9.0
373,Soil Moisture-Based,38736.7995,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,15.4,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
374,Soil Moisture-Based,37983.83594999999,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,18.5,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
375,Soil Moisture-Based,26671.239,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,16.6,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
376,Evapotranspiration-Based,38555.3625,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,11.6,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
377,Evapotranspiration-Based,37766.11155,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,13.5,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
378,Evapotranspiration-Based,26217.6465,6.066666666666666,37.56666666666667,1200.0,Vegetables,clay,11.5,https://doi.org/10.1080/23311932.2023.2214428,2025-09-12 16:03:31,9.0
379,Soil Moisture-Based,16238.611499999995,28.6139,77.209,214.0,Legumes_Grains,sandy loams,11.0,https://doi.org/10.3390/agronomy12020278,2025-09-12 16:20:50,10.0
380,Soil Moisture-Based,14061.367499999998,28.6139,77.209,214.0,Legumes_Grains,sandy loams,8.848677635192871,https://doi.org/10.3390/agronomy12020278,2025-09-12 16:20:50,10.0
381,Soil Moisture-Based,11339.8125,28.6139,77.209,214.0,Legumes_Grains,sandy loams,8.848677635192871,https://doi.org/10.3390/agronomy12020278,2025-09-12 16:20:50,10.0
382,Specialized Irrigation Delivery,7500.0,37.63333333333333,107.5,1300.0,Hay,coarse sands,1.8,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
383,Specialized Irrigation Delivery,7759.0,37.63333333333333,107.5,1300.0,Hay,coarse sands,1.73,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
384,Specialized Irrigation Delivery,10585.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,2.14,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
385,Specialized Irrigation Delivery,11226.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,2.11,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
386,Specialized Irrigation Delivery,7527.0,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.733600616455078,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
387,Specialized Irrigation Delivery,7930.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.733600616455078,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
388,Specialized Irrigation Delivery,10369.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.908891677856445,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
389,Specialized Irrigation Delivery,10777.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.908891677856445,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
390,Specialized Irrigation Delivery,11101.5,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.946345329284668,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
391,Specialized Irrigation Delivery,11349.0,37.63333333333333,107.5,1300.0,Hay,coarse sands,8.946345329284668,https://doi.org/10.3390/w15122242,2025-09-12 17:00:17,9.0
392,Evapotranspiration-Based,9879.24465,45.3167,19.8333,84.0,Maize,silt loams,2.41,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
393,Evapotranspiration-Based,7602.210300000001,45.3167,19.8333,84.0,Maize,silt loams,1.0,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
394,Plant or Climate-Based,7937.86875,45.3167,19.8333,84.0,Maize,silt loams,1.34,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
395,Evapotranspiration-Based,11693.61465,45.3167,19.8333,84.0,Maize,silt loams,2.94,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
396,Evapotranspiration-Based,10078.82535,45.3167,19.8333,84.0,Maize,silt loams,1.42,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
397,Plant or Climate-Based,11067.657,45.3167,19.8333,84.0,Maize,silt loams,2.07,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
398,Evapotranspiration-Based,8527.539,45.3167,19.8333,84.0,Maize,silt loams,1.42,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
399,Evapotranspiration-Based,8681.76045,45.3167,19.8333,84.0,Maize,silt loams,1.71,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
400,Plant or Climate-Based,8146.5213,45.3167,19.8333,84.0,Maize,silt loams,1.58,https://doi.org/10.3390/agriculture13101994,2025-09-12 17:01:12,9.0
401,Conventional/Fixed Scheduling,3212.0,31.4220558,73.0923253,188.0,Wheat,sandy loams,1.1800000000000002,https://doi.org/10.1007/s10333-022-00911-9,2025-09-12 23:38:02,9.0
402,Conventional/Fixed Scheduling,3707.0,31.4220558,73.0923253,188.0,Wheat,sandy loams,1.36,https://doi.org/10.1007/s10333-022-00911-9,2025-09-12 23:38:02,9.0
403,Conventional/Fixed Scheduling,3286.0,31.4220558,73.0923253,188.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1007/s10333-022-00911-9,2025-09-12 23:38:02,9.0
404,Conventional/Fixed Scheduling,3467.0,31.4220558,73.0923253,188.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1007/s10333-022-00911-9,2025-09-12 23:38:02,9.0
415,Evapotranspiration-Based,40460.451,31.25,75.7,280.0,Vegetables,sandy loams,12.065560499999998,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
416,Evapotranspiration-Based,38237.84774999999,31.25,75.7,280.0,Vegetables,sandy loams,14.6056785,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
417,Evapotranspiration-Based,34019.4375,31.25,75.7,280.0,Vegetables,sandy loams,12.337716,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
418,Evapotranspiration-Based,28032.0165,31.25,75.7,280.0,Vegetables,sandy loams,11.8841235,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
419,Deficit/Partial Irrigation,38736.7995,31.25,75.7,280.0,Vegetables,sandy loams,12.6098715,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
420,Deficit/Partial Irrigation,34926.6225,31.25,75.7,280.0,Vegetables,sandy loams,12.700589999999998,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
421,Soil Moisture-Based,25401.18,31.25,75.7,280.0,Vegetables,sandy loams,5.261672999999999,https://doi.org/10.54386/jam.v25i4.2269,2025-09-12 23:41:20,9.0
422,Deficit/Partial Irrigation,6422.8698,8.764167,39.00805555555556,1610.0,Vegetables,clay,3.08,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
423,Deficit/Partial Irrigation,6749.4564,8.764167,39.00805555555556,1610.0,Vegetables,clay,3.17,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
424,Deficit/Partial Irrigation,6386.582399999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,2.76,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
425,Deficit/Partial Irrigation,5760.624749999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,2.71,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
426,Deficit/Partial Irrigation,4554.068699999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,2.7,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
427,Deficit/Partial Irrigation,5678.978099999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,1.83,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
428,Deficit/Partial Irrigation,5388.6789,8.764167,39.00805555555556,1610.0,Vegetables,clay,1.9,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
429,Deficit/Partial Irrigation,5388.6789,8.764167,39.00805555555556,1610.0,Vegetables,clay,1.73,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
430,Deficit/Partial Irrigation,3937.1829,8.764167,39.00805555555556,1610.0,Vegetables,clay,0.73,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
431,Deficit/Partial Irrigation,6050.923949999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,1.9,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
432,Deficit/Partial Irrigation,6758.528249999999,8.764167,39.00805555555556,1610.0,Vegetables,clay,2.42,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
433,Deficit/Partial Irrigation,5887.63065,8.764167,39.00805555555556,1610.0,Vegetables,clay,1.7,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
434,Deficit/Partial Irrigation,4245.6258,8.764167,39.00805555555556,1610.0,Vegetables,clay,0.78,https://doi.org/10.26855/ijfsa.2021.06.015,2025-09-12 23:41:52,9.0
435,Specialized Irrigation Delivery,7751.64,38.43333333333333,106.05,1123.0,Legumes_Grains,sandy loams,2.0,https://doi.org/10.1038/s41598-022-20652-3,2025-09-12 23:43:19,10.0
436,Specialized Irrigation Delivery,7245.41,38.43333333333333,106.05,1123.0,Legumes_Grains,sandy loams,1.49,https://doi.org/10.1038/s41598-022-20652-3,2025-09-12 23:43:19,10.0
437,Specialized Irrigation Delivery,8758.25,38.43333333333333,106.05,1123.0,Legumes_Grains,sandy loams,1.96,https://doi.org/10.1038/s41598-022-20652-3,2025-09-12 23:43:19,10.0
438,Deficit/Partial Irrigation,14681.0,42.1067125,-85.0796988,283.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
439,Deficit/Partial Irrigation,15183.0,42.1067125,-85.0796988,283.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
440,Deficit/Partial Irrigation,13740.0,42.1067125,-85.0796988,283.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
441,Deficit/Partial Irrigation,4127.0,42.0667135,-85.1360882,279.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
442,Deficit/Partial Irrigation,4315.0,42.0667135,-85.1360882,279.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
443,Deficit/Partial Irrigation,4356.0,42.0667135,-85.1360882,279.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
444,Deficit/Partial Irrigation,4127.0,42.0158813,-85.5477706,256.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
445,Deficit/Partial Irrigation,4315.0,42.0158813,-85.5477706,256.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
446,Deficit/Partial Irrigation,4356.0,42.0158813,-85.5477706,256.0,Soybean,sandy loams,8.823047637939453,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
447,Deficit/Partial Irrigation,14681.0,41.799217,-85.4191482,281.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
448,Deficit/Partial Irrigation,15183.0,41.799217,-85.4191482,281.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
449,Deficit/Partial Irrigation,13740.0,41.799217,-85.4191482,281.0,Maize,sandy loams,8.946345329284668,https://doi.org/10.3389/fagro.2025.1496198,2025-09-12 23:44:02,9.0
450,Deficit/Partial Irrigation,5503.0,29.83333333333333,52.766666666666666,1810.0,Wheat,silty clay,0.96,https://doi.org/10.2166/ws.2021.246,2025-09-12 23:48:15,9.0
451,Deficit/Partial Irrigation,4272.0,29.83333333333333,52.766666666666666,1810.0,Wheat,silty clay,0.95,https://doi.org/10.2166/ws.2021.246,2025-09-12 23:48:15,9.0
452,Deficit/Partial Irrigation,4802.0,29.83333333333333,52.766666666666666,1810.0,Wheat,silty clay,0.94,https://doi.org/10.2166/ws.2021.246,2025-09-12 23:48:15,9.0
453,Deficit/Partial Irrigation,4485.0,29.83333333333333,52.766666666666666,1810.0,Wheat,silty clay,0.85,https://doi.org/10.2166/ws.2021.246,2025-09-12 23:48:15,9.0
454,Evapotranspiration-Based,6218.07,40.88333333333333,86.93333333333334,900.0,Fibers_Oilseeds,sandy loams,2.6,https://doi.org/10.3390/agronomy15071674,2025-09-13 00:18:02,9.0
455,Deficit/Partial Irrigation,5660.59,40.88333333333333,86.93333333333334,900.0,Fibers_Oilseeds,sandy loams,1.58,https://doi.org/10.3390/agronomy15071674,2025-09-13 00:18:02,9.0
456,Specialized Irrigation Delivery,6728.3,29.9382,70.1155,731.0,Maize,sandy clay loams,1.5619999999999998,https://doi.org/10.1016/j.agwat.2022.107829,2025-11-24 23:32:48,9.0
457,Specialized Irrigation Delivery,6296.6,29.9382,70.1155,731.0,Maize,sandy clay loams,1.212,https://doi.org/10.1016/j.agwat.2022.107829,2025-11-24 23:32:48,9.0
458,Specialized Irrigation Delivery,5563.2,29.9382,70.1155,731.0,Maize,sandy clay loams,0.612,https://doi.org/10.1016/j.agwat.2022.107829,2025-11-24 23:32:48,9.0
459,Conventional/Fixed Scheduling,6135.2,29.9382,70.1155,731.0,Maize,sandy clay loams,0.513,https://doi.org/10.1016/j.agwat.2022.107829,2025-11-24 23:32:48,9.0
489,Soil Moisture-Based,19000.0,-36.5,145.5,122.0,Vegetables,sandy loams,80.98,https://doi.org/10.1016/j.agwat.2019.06.005,2025-11-24 23:38:30,8.0
490,Soil Moisture-Based,18000.0,-36.5,145.5,122.0,Vegetables,sandy loams,57.98,https://doi.org/10.1016/j.agwat.2019.06.005,2025-11-24 23:38:30,8.0
491,Soil Moisture-Based,8000.0,-36.5,145.5,122.0,Vegetables,clay,62.34,https://doi.org/10.1016/j.agwat.2019.06.005,2025-11-24 23:38:30,8.0
492,Soil Moisture-Based,7000.0,-36.5,145.5,122.0,Vegetables,clay,51.83,https://doi.org/10.1016/j.agwat.2019.06.005,2025-11-24 23:38:30,8.0
493,Soil Moisture-Based,18900.0,-36.5,145.5,122.0,Vegetables,sandy loams,80.98,https://doi.org/10.1016/j.agwat.2019.06.005,2025-11-24 23:38:30,8.0
494,Soil Moisture-Based,34969.260194999995,43.3541,-85.178,290.0,Roots_Tubers,sandy loams,10.011372566223145,https://doi.org/10.1016/j.agwat.2012.04.001,2025-11-24 23:40:32,9.0
495,Soil Moisture-Based,41272.38157499999,43.3541,-85.178,290.0,Roots_Tubers,sandy loams,10.180791854858398,https://doi.org/10.1016/j.agwat.2012.04.001,2025-11-24 23:40:32,9.0
498,Deficit/Partial Irrigation,8015.0,44.3079869,86.0549057,470.0,Wheat,sandy clay loams,1.35,https://doi.org/10.1016/j.agwat.2020.106002,2025-11-24 23:54:19,9.0
499,Deficit/Partial Irrigation,10325.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.924722671508789,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
500,Deficit/Partial Irrigation,10355.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.924722671508789,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
501,Deficit/Partial Irrigation,8713.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.830930709838867,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
502,Deficit/Partial Irrigation,10324.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.924722671508789,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
503,Deficit/Partial Irrigation,10353.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.924722671508789,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
504,Deficit/Partial Irrigation,8636.0,40.45,-104.64,1428.0,Maize,sandy clay loams,8.830930709838867,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
505,Deficit/Partial Irrigation,6594.0,33.1190254,-88.5916703,66.0,Soybean,silty clay,8.594532012939453,https://doi.org/10.1016/j.agwat.2005.02.016,2025-11-25 00:01:15,9.0
